epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
105,504.639,0.71897,0.89373,0.63277,0.91434,0.98366,0.95833,0.96912,0.85987,0.98366,0.95833,0.96912,0.81893,0.49406,0.54999,0.43709,0.73638,0.0009704,0.0009704,0.0009704
106,509.47,0.73267,1.03102,0.55844,0.91117,0.99912,0.95833,0.9694,0.85838,0.99912,0.95833,0.9694,0.80893,0.53571,0.57277,0.44268,0.74014,0.0009605,0.0009605,0.0009605
107,514.316,0.6407,0.76663,0.56015,0.87719,0.99748,0.95833,0.96955,0.856,0.99748,0.95833,0.96955,0.81027,0.56005,0.55286,0.44567,0.74205,0.0009506,0.0009506,0.0009506
108,519.198,0.67468,0.80554,0.57017,0.92678,0.996,0.95833,0.96986,0.87262,0.996,0.95833,0.96986,0.82252,0.5173,0.54002,0.4457,0.73496,0.0009407,0.0009407,0.0009407
109,524.21,0.74674,0.9269,0.61496,0.91798,0.99665,0.95833,0.96971,0.87164,0.99665,0.95833,0.96971,0.8256,0.4932,0.54425,0.43537,0.7265,0.0009308,0.0009308,0.0009308
110,529.03,0.65401,0.86236,0.5838,0.90364,0.99625,0.95833,0.97085,0.86559,0.99625,0.95833,0.97085,0.82666,0.49738,0.5437,0.42849,0.72147,0.0009209,0.0009209,0.0009209
111,533.836,0.69598,0.85456,0.5939,0.91648,0.99769,0.95833,0.97179,0.85269,0.99769,0.95833,0.97179,0.81961,0.52054,0.55388,0.42214,0.71912,0.000911,0.000911,0.000911
112,538.734,0.67332,0.81921,0.55697,0.89894,0.99847,0.95833,0.97262,0.86558,0.99847,0.95833,0.97262,0.82569,0.47373,0.55365,0.43322,0.72322,0.0009011,0.0009011,0.0009011
113,543.376,0.64639,0.82155,0.5586,0.89402,0.99817,0.95833,0.97307,0.8683,0.99817,0.95833,0.97307,0.80995,0.47353,0.57435,0.42314,0.7225,0.0008912,0.0008912,0.0008912
114,548.365,0.73286,0.98461,0.5894,0.91772,0.99806,0.95833,0.97403,0.86517,0.99806,0.95833,0.97403,0.82479,0.45362,0.54743,0.43632,0.71281,0.0008813,0.0008813,0.0008813
115,553.26,0.61881,0.78212,0.53691,0.92226,0.99797,0.95833,0.97403,0.86902,0.99797,0.95833,0.97403,0.83795,0.45014,0.53109,0.43636,0.70911,0.0008714,0.0008714,0.0008714
116,557.988,0.67946,0.86792,0.54066,0.9064,0.99778,0.95833,0.97404,0.85582,0.99778,0.95833,0.97404,0.82828,0.47238,0.54179,0.42015,0.71555,0.0008615,0.0008615,0.0008615
117,562.501,0.65774,0.75304,0.56676,0.90249,0.99642,0.95833,0.97432,0.87481,0.99642,0.95833,0.97432,0.82804,0.44643,0.54835,0.40669,0.71033,0.0008516,0.0008516,0.0008516
118,567.015,0.60871,0.72932,0.52784,0.90465,0.99336,0.95833,0.97436,0.87794,0.99336,0.95833,0.97436,0.81297,0.43642,0.57208,0.39115,0.70608,0.0008417,0.0008417,0.0008417
119,571.482,0.69039,0.76507,0.53284,0.93494,0.99539,0.95833,0.97443,0.87536,0.99539,0.95833,0.97443,0.81706,0.43778,0.55628,0.37061,0.70676,0.0008318,0.0008318,0.0008318
120,576.098,0.65422,0.86103,0.52339,0.92628,0.9859,0.97106,0.97509,0.87587,0.9859,0.97106,0.97509,0.84341,0.47753,0.51367,0.37618,0.71088,0.0008219,0.0008219,0.0008219
121,580.485,0.59679,0.7813,0.51056,0.89504,0.98589,0.97065,0.97514,0.8791,0.98589,0.97065,0.97514,0.83472,0.43601,0.52057,0.36555,0.70683,0.000812,0.000812,0.000812
122,584.911,0.59376,0.73229,0.4809,0.88725,0.99841,0.95833,0.97515,0.90375,0.99841,0.95833,0.97515,0.84078,0.38154,0.50635,0.35179,0.70394,0.0008021,0.0008021,0.0008021
123,589.39,0.63864,0.82659,0.52284,0.8758,1,0.97115,0.97543,0.89705,1,0.97115,0.97543,0.84733,0.38719,0.48167,0.34215,0.7028,0.0007922,0.0007922,0.0007922
